Skin Name,Brawler,Rarity,Price,Price+,Theme,Archivity
Бандитка Shelly,Shelly,1,29,0,Outlaws,-
Бока Хуниорс Shelly,Shelly,1,29,0,ML,+
Америка Shelly,Shelly,1,29,0,ML,+
Универсидад де Чили Shelly,Shelly,1,29,0,ML,+
Классическая Shelly,Shelly,1,29,0,Anniversary,+
Панда Nita,Nita,1,29,0,Animal Kingdom,-
Rockstar Colt,Colt,1,29,0,Vibing,-
Outlaw Colt,Colt,1,29,0,Outlaws,-
Cerro Porteno Colt,Colt,1,29,0,ML,+
Alt. Nacional Colt,Colt,1,29,0,ML,+
River Plate Colt,Colt,1,29,0,ML,+
Club America Colt,Colt,1,29,0,ML,+
ZomBrock,Brock,1,29,0,Halloween,-
El Primo Universitario,El Primo,1,29,0,ML,+
El Primo Club Nacional,El Primo,1,29,0,ML,+
El Primo Corinthians,El Primo,1,29,0,ML,+
Golden Barley,Barley,1,29,0,Outlaws,-
Кукла Jessie,Jessie,1,29,0,My Brawlentine,-
Классический 8-BIT,8-BIT,1,29,0,Gaming,-
Goblin Carl,Carl,1,29,0,Clash of Clans,-
Строительница Jacky,Jacky,1,29,0,City troubles,-
Бойскаут Gus,Gus,1,29,0,Misc,-
Warrior Bo,Bo,1,29,0,Rumble Jungle Heroes,-
Суперзвезда Stu,Stu,1,29,0,Stunt Show,-
Выскочка Emz,Emz,1,29,0,Brawl Academy,-
Розовая Piper,Piper,1,29,0,Misc,-
Bubblegum Bibi,Bibi,1,29,0,Candyland,-
Ladybug Bea,Bea,1,29,0,Animal Kingdom,-
Ретро Nani,Nani,1,29,0,Gaming,-
Blackbird Edgar,Edgar,1,29,0,Max Force,-
Unicorn Bonnie,Bonnie,1,29,0,Candyland,-
Footbonnie,Bonnie,1,29,0,Golden Brawl Ball,-
Мишка Sam,Sam,1,29,0,My Brawlentine,-
MC Mandy,Mandy,1,29,0,Vibing,-
Технарь Maisie,Maisie,1,29,0,Cyberbrawl,-
Акула Hank,Hank,1,29,0,Deep sea league,-
Винтажная Пёрл,Pearl,1,29,0,City troubles,-
Larry and Lawrie Контроль,Larry and Lawrie,1,29,0,Gaming,-
Elf Angelo,Angelo,1,29,0,Enchanted woods,-
Старра,Tara,1,29,0,Misc,-
GT Max,Max,1,29,0,Misc,-
Агент П.,Mr. P,1,29,0,City troubles,-
Тропический Sprout,Sprout,1,29,0,Summer of Brawl,-
Канцелярский Squeak,Squeak,1,29,0,Misc,-
Kaiju Buzz,Buzz,1,29,0,Max Force,-
Реактивная Janet,Janet,1,29,0,Max Force,-
Беглец Gray,Gray,1,29,0,=,-
Аксолотль Willow,Willow,1,29,0,Misc,-
Сержант R-T,R-T,1,29,0,Max Force,-
Draco Doug,Doug,1,29,0,Once Upon,-
Inferno Chuck,Chuck,1,29,0,Halloween,-
Amazing Charlie,Charlie,1,29,0,Max Force,-
Месье Mico,Mico,1,29,0,City troubles,-
Сиф Melodie,Melodie,1,29,0,Northern Saga,-
Spike в маске,Spike,1,29,0,Gift Shop,-
Бродячий Leon,Leon,1,29,0,Animal Kingdom,-
Сонный Sandy,Sandy,1,29,0,Misc,-
Dark Chester,Chester,1,29,0,Halloween,-
LDU Quito Mike,Dynamike,1,49,0,ML,+
Flamengo Mike,Dynamike,1,49,0,ML,+
Chivas Mike,Dynamike,1,49,0,ML,+
True Silver Shelly,Shelly,1,769,0,True Silver Skins,-
True Gold Shelly,Shelly,1,769,1153,True Gold Skins,-
True Silver Nita,Nita,1,769,0,True Silver Skins,-
True Gold Nita,Nita,1,769,1153,True Gold Skins,-
True Silver Colt,Colt,1,769,0,True Silver Skins,-
True Gold Colt,Colt,1,769,1153,True Gold Skins,-
True Silver Bull,Bull,1,769,0,True Silver Skins,-
True Gold Bull,Bull,1,769,1153,True Gold Skins,-
True Silver Brock,Brock,1,769,0,True Silver Skins,-
True Gold Brock,Brock,1,769,1153,True Gold Skins,-
True Silver El Primo,El Primo,1,769,0,True Silver Skins,-
True Gold El Primo,El Primo,1,769,1153,True Gold Skins,-
True Silver Barley,Barley,1,769,0,True Silver Skins,-
True Gold Barley,Barley,1,769,1153,True Gold Skins,-
True Silver Poco,Poco,1,769,0,True Silver Skins,-
True Gold Poco,Poco,1,769,1153,True Gold Skins,-
True Silver Rosa,Rosa,1,769,0,True Silver Skins,-
True Gold Rosa,Rosa,1,769,1153,True Gold Skins,-
True Silver Jessie,Jessie,1,769,0,True Silver Skins,-
True Gold Jessie,Jessie,1,769,1153,True Gold Skins,-
True Silver Dynamike,Dynamike,1,769,0,True Silver Skins,-
True Gold Dynamike,Dynamike,1,769,1153,True Gold Skins,-
True Silver Tick,Tick,1,769,0,True Silver Skins,-
True Gold Tick,Tick,1,769,1153,True Gold Skins,-
True Silver 8-BIT,8-BIT,1,769,0,True Silver Skins,-
True Gold 8-BIT,8-BIT,1,769,1153,True Gold Skins,-
True Silver Rico,Rico,1,769,0,True Silver Skins,-
True Gold Rico,Rico,1,769,1153,True Gold Skins,-
True Silver Darryl,Darryl,1,769,0,True Silver Skins,-
True Gold Darryl,Darryl,1,769,1153,True Gold Skins,-
True Silver Penny,Penny,1,769,0,True Silver Skins,-
True Gold Penny,Penny,1,769,1153,True Gold Skins,-
True Silver Carl,Carl,1,769,0,True Silver Skins,-
True Gold Carl,Carl,1,769,1153,True Gold Skins,-
True Silver Jacky,Jacky,1,769,0,True Silver Skins,-
True Gold Jacky,Jacky,1,769,1153,True Gold Skins,-
True Silver Gus,Gus,1,769,0,True Silver Skins,-
True Gold Gus,Gus,1,769,1153,True Gold Skins,-
True Silver Bo,Bo,1,769,0,True Silver Skins,-
True Gold Bo,Bo,1,769,1153,True Gold Skins,-
True Silver Emz,Emz,1,769,0,True Silver Skins,-
True Gold Emz,Emz,1,769,1153,True Gold Skins,-
True Silver Stu,Stu,1,769,0,True Silver Skins,-
True Gold Stu,Stu,1,769,1153,True Gold Skins,-
True Silver Piper,Piper,1,769,0,True Silver Skins,-
True Gold Piper,Piper,1,769,1153,True Gold Skins,-
True Silver Pam,Pam,1,769,0,True Silver Skins,-
True Gold Pam,Pam,1,769,1153,True Gold Skins,-
True Silver Frank,Frank,1,769,0,True Silver Skins,-
True Gold Frank,Frank,1,769,1153,True Gold Skins,-
True Silver Bibi,Bibi,1,769,0,True Silver Skins,-
True Gold Bibi,Bibi,1,769,1153,True Gold Skins,-
True Silver Bea,Bea,1,769,0,True Silver Skins,-
True Gold Bea,Bea,1,769,1153,True Gold Skins,-
True Silver Nani,Nani,1,769,0,True Silver Skins,-
True Gold Nani,Nani,1,769,1153,True Gold Skins,-
True Silver Edgar,Edgar,1,769,0,True Silver Skins,-
True Gold Edgar,Edgar,1,769,1153,True Gold Skins,-
True Silver Griff,Griff,1,769,0,True Silver Skins,-
True Gold Griff,Griff,1,769,1153,True Gold Skins,-
True Silver Grom,Grom,1,769,0,True Silver Skins,-
True Gold Grom,Grom,1,769,1153,True Gold Skins,-
True Silver Bonnie,Bonnie,1,769,0,True Silver Skins,-
True Gold Bonnie,Bonnie,1,769,1153,True Gold Skins,-
True Silver Gale,Gale,1,769,0,True Silver Skins,-
True Gold Gale,Gale,1,769,1153,True Gold Skins,-
True Silver Colette,Colette,1,769,0,True Silver Skins,-
True Gold Colette,Colette,1,769,1153,True Gold Skins,-
True Silver Belle,Belle,1,769,0,True Silver Skins,-
True Gold Belle,Belle,1,769,1153,True Gold Skins,-
True Silver Ash,Ash,1,769,0,True Silver Skins,-
True Gold Ash,Ash,1,769,1153,True Gold Skins,-
True Silver Lola,Lola,1,769,0,True Silver Skins,-
True Gold Lola,Lola,1,769,1153,True Gold Skins,-
True Silver Sam,Sam,1,769,0,True Silver Skins,-
True Gold Sam,Sam,1,769,1153,True Gold Skins,-
True Silver Mandy,Mandy,1,769,0,True Silver Skins,-
True Gold Mandy,Mandy,1,769,1153,True Gold Skins,-
True Silver Maisie,Maisie,1,769,0,True Silver Skins,-
True Gold Maisie,Maisie,1,769,1153,True Gold Skins,-
True Silver Hank,Hank,1,769,0,True Silver Skins,-
True Gold Hank,Hank,1,769,1153,True Gold Skins,-
True Silver Pearl,Pearl,1,769,0,True Silver Skins,-
True Gold Pearl,Pearl,1,769,1153,True Gold Skins,-
True Silver Larry and Lawrie,Larry and Lawrie,1,769,0,True Silver Skins,-
True Gold Larry and Lawrie,Larry and Lawrie,1,769,1153,True Gold Skins,-
True Silver Angelo,Angelo,1,769,0,True Silver Skins,-
True Gold Angelo,Angelo,1,769,1153,True Gold Skins,-
True Silver Mortis,Mortis,1,769,0,True Silver Skins,-
True Gold Mortis,Mortis,1,769,1153,True Gold Skins,-
True Silver Tara,Tara,1,769,0,True Silver Skins,-
True Gold Tara,Tara,1,769,1153,True Gold Skins,-
True Silver Gene,Gene,1,769,0,True Silver Skins,-
True Gold Gene,Gene,1,769,1153,True Gold Skins,-
True Silver Max,Max,1,769,0,True Silver Skins,-
True Gold Max,Max,1,769,1153,True Gold Skins,-
True Silver Мистер П,Mr. P,1,769,0,True Silver Skins,-
True Gold Мистер П,Mr. P,1,769,1153,True Gold Skins,-
True Silver Sprout,Sprout,1,769,0,True Silver Skins,-
True Gold Sprout,Sprout,1,769,1153,True Gold Skins,-
True Silver Byron,Byron,1,769,0,True Silver Skins,-
True Gold Byron,Byron,1,769,1153,True Gold Skins,-
True Silver Squeak,Squeak,1,769,0,True Silver Skins,-
True Gold Squeak,Squeak,1,769,1153,True Gold Skins,-
True Silver Lou,Lou,1,769,0,True Silver Skins,-
True Gold Lou,Lou,1,769,1153,True Gold Skins,-
True Silver Ruffs,Ruffs,1,769,0,True Silver Skins,-
True Gold Ruffs,Ruffs,1,769,1153,True Gold Skins,-
True Silver Buzz,Buzz,1,769,0,True Silver Skins,-
True Gold Buzz,Buzz,1,769,1153,True Gold Skins,-
True Silver Fang,Fang,1,769,0,True Silver Skins,-
True Gold Fang,Fang,1,769,1153,True Gold Skins,-
True Silver Eve,Eve,1,769,0,True Silver Skins,-
True Gold Eve,Eve,1,769,1153,True Gold Skins,-
True Silver Janet,Janet,1,769,0,True Silver Skins,-
True Gold Janet,Janet,1,769,1153,True Gold Skins,-
True Silver Otis,Otis,1,769,0,True Silver Skins,-
True Gold Otis,Otis,1,769,1153,True Gold Skins,-
True Silver Buster,Buster,1,769,0,True Silver Skins,-
True Gold Buster,Buster,1,769,1153,True Gold Skins,-
True Silver Gray,Gray,1,769,0,True Silver Skins,-
True Gold Gray,Gray,1,769,1153,True Gold Skins,-
True Silver R-T,R-T,1,769,0,True Silver Skins,-
True Gold R-T,R-T,1,769,1153,True Gold Skins,-
True Silver Willow,Willow,1,769,0,True Silver Skins,-
True Gold Willow,Willow,1,769,1153,True Gold Skins,-
True Silver Doug,Doug,1,769,0,True Silver Skins,-
True Gold Doug,Doug,1,769,1153,True Gold Skins,-
True Silver Chuck,Chuck,1,769,0,True Silver Skins,-
True Gold Chuck,Chuck,1,769,1153,True Gold Skins,-
True Silver Charlie,Charlie,1,769,0,True Silver Skins,-
True Gold Charlie,Charlie,1,769,1153,True Gold Skins,-
True Silver Mico,Mico,1,769,0,True Silver Skins,-
True Gold Mico,Mico,1,769,1153,True Gold Skins,-
True Silver Melodie,Melodie,1,769,0,True Silver Skins,-
True Gold Melodie,Melodie,1,769,1153,True Gold Skins,-
True Silver Spike,Spike,1,769,0,True Silver Skins,-
True Gold Spike,Spike,1,769,1153,True Gold Skins,-
True Silver Crow,Crow,1,769,0,True Silver Skins,-
True Gold Crow,Crow,1,769,1153,True Gold Skins,-
True Silver Leon,Leon,1,769,0,True Silver Skins,-
True Gold Leon,Leon,1,769,1153,True Gold Skins,-
True Silver Sandy,Sandy,1,769,0,True Silver Skins,-
True Gold Sandy,Sandy,1,769,1153,True Gold Skins,-
True Silver Amber,Amber,1,769,0,True Silver Skins,-
True Gold Amber,Amber,1,769,1153,True Gold Skins,-
True Silver Meg,Meg,1,769,0,True Silver Skins,-
True Gold Meg,Meg,1,769,1153,True Gold Skins,-
True Silver Surge,Surge,1,769,0,True Silver Skins,-
True Gold Surge,Surge,1,769,1153,True Gold Skins,-
True Silver Chester,Chester,1,769,0,True Silver Skins,-
True Gold Chester,Chester,1,769,1153,True Gold Skins,-
True Silver Cordelius,Cordelius,1,769,0,True Silver Skins,-
True Gold Cordelius,Cordelius,1,769,1153,True Gold Skins,-
True Silver Kit,Kit,1,769,0,True Silver Skins,-
True Gold Kit,Kit,1,769,1153,True Gold Skins,-
Билли Kit,Kit,1,29,0,Tales of the Sea,-
Принцесса Shelly,Shelly,2,0,0,Brawl Pass,+
Gunslinger Colt,Colt,2,0,0,Brawl Pass,+
Barbarian King Bull,Bull,2,0,0,Clash of Clans,+
B-800,Bull,2,0,0,Brawl Pass,+
Super Ranger Brock,Brock,2,0,0,Brawl Pass,+
Retro Brock,Brock,2,0,0,Anniversary,+
Poco Старр,Poco,2,0,0,Brawl Pass,+
Майор Rosa,Rosa,2,0,0,Brawl Pass,+
Красный Дракон Jessie,Jessie,2,0,0,Chinese Brawl Stars,+
Bellhop Mike,Dynamike,2,0,0,Brawl Pass,+
Рикошет,Rico,2,0,0,Anniversary,+
D4Y-RY1,Darryl,2,0,0,Brawl Pass,+
El Mayordomo,El Primo,3,149,0,Brawl Pass,-
Shelly PSG,Shelly,2,79,0,PSG,-
Коала Nita,Nita,2,79,0,Animal Kingdom,-
Морская Nita,Nita,2,79,0,Supercell Make,-
Мармеладная Nita,Nita,2,79,0,Brawl Pass,-
Handsome Colt,Colt,2,79,0,City troubles,-
Sharktooth Colt,Colt,2,79,0,Brawl Pass,-
